fecha,placa,código,mina,mpio,pesent,pessal,peso_bas,horaentra,horasal,humedad,cenizas,volatil,azufre,pcal,p_correg,f_b,t_mcal,cod_m,
11/05/2015,TNC088,441/464/01/1,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30220,11540,18680,08:20:47 a.m.,08:36:25 a.m.,5.47,16.18,31.45,0.93,6355.50,18691.96,1.00064,118796.75,50958740_,
11/05/2015,TNC088,441/464/01/2,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,31730,11570,20160,03:55:30 p.m.,04:32:44 p.m.,5.47,16.18,31.45,0.93,6355.50,20172.90,1.00064,128208.87,50958740_,
12/05/2015,TNC088,441/464/01/3,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30690,11560,19130,10:37:45 a.m.,10:48:08 a.m.,5.47,16.18,31.45,0.93,6355.50,19142.24,1.00064,121658.51,50958740_,
13/05/2015,TNC088,441/464/01/4,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30400,11500,18900,10:44:45 a.m.,11:00:47 a.m.,5.47,16.18,31.45,0.93,6355.50,18912.10,1.00064,120195.85,50958740_,
14/05/2015,TNC088,441/464/01/5,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30760,11500,19260,10:59:00 a.m.,11:06:11 a.m.,5.47,16.18,31.45,0.93,6355.50,19272.33,1.00064,122485.29,50958740_,
15/05/2015,TNC088,441/464/01/6,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30830,11510,19320,09:55:36 a.m.,10:03:05 a.m.,5.47,16.18,31.45,0.93,6355.50,19332.36,1.00064,122866.81,50958740_,
19/05/2015,TNC088,441/464/01/7,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,31130,11550,19580,09:21:58 a.m.,09:34:24 a.m.,5.47,16.18,31.45,0.93,6355.50,19592.53,1.00064,124520.32,50958740_,
19/05/2015,TNC088,441/464/01/8,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30790,11560,19230,03:57:17 p.m.,04:07:42 p.m.,5.47,16.18,31.45,0.93,6355.50,19242.31,1.00064,122294.50,50958740_,
20/05/2015,TNC088,441/464/01/9,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30940,11550,19390,10:46:48 a.m.,11:01:22 a.m.,5.47,16.18,31.45,0.93,6355.50,19402.41,1.00064,123312.02,50958740_,
21/05/2015,TNC088,441/464/01/10,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30740,11560,19180,10:56:22 a.m.,11:07:39 a.m.,5.47,16.18,31.45,0.93,6355.50,19192.28,1.00064,121976.54,50958740_,
22/05/2015,TNC088,441/464/01/11,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,31660,11560,20100,07:43:59 a.m.,07:57:06 a.m.,5.47,16.18,31.45,0.93,6355.50,20112.86,1.00064,127827.28,50958740_,
22/05/2015,TNC088,441/464/01/12,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30450,11510,18940,02:36:51 p.m.,02:49:36 p.m.,5.47,16.18,31.45,0.93,6355.50,18952.12,1.00064,120450.20,50958740_,
23/05/2015,TNC088,441/464/01/13,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30530,11500,19030,09:56:20 a.m.,10:09:42 a.m.,5.47,16.18,31.45,0.93,6355.50,19042.18,1.00064,121022.57,50958740_,
25/05/2015,TNC088,441/464/01/14,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,31510,11510,20000,09:54:11 a.m.,10:04:48 a.m.,5.47,16.18,31.45,0.93,6355.50,20012.80,1.00064,127191.35,50958740_,
25/05/2015,TNC088,441/464/01/15,VARGAS CRUZ HÉCTOR SPO036-102,CUCAITA                  ,30390,11540,18850,03:26:58 p.m.,03:46:53 p.m.,5.47,16.18,31.45,0.93,6355.50,18862.06,1.00064,119877.82,50958740_,
12/05/2015,AYK331,445/468/01/1,COOPROIZA LTDA SPO036-106,IZA                      ,57910,18800,39110,01:34:44 p.m.,02:05:12 p.m.,7.24,12.73,37.36,1.40,6150.85,39250.01,1.00358,241420.92,64621980_,
12/05/2015,SXV342,445/468/01/2,COOPROIZA LTDA SPO036-106,IZA                      ,56450,18320,38130,01:41:53 p.m.,01:54:20 p.m.,7.24,12.73,37.36,1.40,6150.85,38266.51,1.00358,235371.56,64621980_,
13/05/2015,AYK331,445/468/01/3,COOPROIZA LTDA SPO036-106,IZA                      ,59160,19080,40080,08:03:42 a.m.,08:32:20 a.m.,7.24,12.73,37.36,1.40,6150.85,40223.49,1.00358,247408.65,64621980_,
13/05/2015,AYK331,445/468/01/4,COOPROIZA LTDA SPO036-106,IZA                      ,59230,18860,40370,02:30:37 p.m.,02:55:18 p.m.,7.24,12.73,37.36,1.40,6150.85,40514.52,1.00358,249198.74,64621980_,
14/05/2015,AYK331,445/468/01/5,COOPROIZA LTDA SPO036-106,IZA                      ,58770,18900,39870,09:39:57 a.m.,09:56:34 a.m.,7.24,12.73,37.36,1.40,6150.85,40012.73,1.00358,246112.30,64621980_,
19/05/2015,XJB026,445/468/01/6,COOPROIZA LTDA SPO036-106,IZA                      ,58690,19050,39640,07:48:17 a.m.,08:06:59 a.m.,7.24,12.73,37.36,1.40,6150.85,39781.91,1.00358,244692.56,64621980_,
19/05/2015,TUL256,445/468/01/7,COOPROIZA LTDA SPO036-106,IZA                      ,42920,14790,28130,07:53:32 a.m.,08:10:35 a.m.,7.24,12.73,37.36,1.40,6150.85,28230.71,1.00358,173642.86,64621980_,
19/05/2015,XGD887,445/468/01/8,COOPROIZA LTDA SPO036-106,IZA                      ,59090,18600,40490,07:57:42 a.m.,08:13:21 a.m.,7.24,12.73,37.36,1.40,6150.85,40634.95,1.00358,249939.48,64621980_,
19/05/2015,SMK462,445/468/01/9,COOPROIZA LTDA SPO036-106,IZA                      ,32670,10540,22130,08:08:05 a.m.,08:26:30 a.m.,7.24,12.73,37.36,1.40,6150.85,22209.23,1.00358,136605.64,64621980_,
19/05/2015,TUL256,445/468/01/10,COOPROIZA LTDA SPO036-106,IZA                      ,43050,14740,28310,11:16:52 a.m.,11:30:22 a.m.,7.24,12.73,37.36,1.40,6150.85,28411.35,1.00358,174753.95,64621980_,
19/05/2015,TUL256,445/468/01/11,COOPROIZA LTDA SPO036-106,IZA                      ,43380,14700,28680,03:26:59 p.m.,03:39:31 p.m.,7.24,12.73,37.36,1.40,6150.85,28782.67,1.00358,177037.89,64621980_,
20/05/2015,TUL256,445/468/01/12,COOPROIZA LTDA SPO036-106,IZA                      ,45250,14660,30590,09:31:27 a.m.,09:42:02 a.m.,7.24,12.73,37.36,1.40,6150.85,30699.51,1.00358,188828.08,64621980_,
21/05/2015,XGD887,445/468/01/13,COOPROIZA LTDA SPO036-106,IZA                      ,59670,18580,41090,09:26:09 a.m.,09:43:35 a.m.,7.24,12.73,37.36,1.40,6150.85,41237.10,1.00358,253643.22,64621980_,
12/05/2015,TLP306,446/469/01/1,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,54660,18110,36550,09:47:25 a.m.,10:12:05 a.m.,5.66,19.03,33.15,1.70,5898.22,36357.38,0.99473,214443.83,42918479_,
13/05/2015,XJB177,446/469/01/2,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,53780,17180,36600,02:26:10 p.m.,03:07:33 p.m.,5.66,19.03,33.15,1.70,5898.22,36407.12,0.99473,214737.20,42918479_,
14/05/2015,XJA152,446/469/01/3,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,59930,17810,42120,03:10:30 p.m.,03:52:59 p.m.,5.66,19.03,33.15,1.70,5898.22,41898.03,0.99473,247123.80,42918479_,
19/05/2015,XVO740,446/469/01/4,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,54410,17140,37270,02:33:23 p.m.,03:16:09 p.m.,5.66,19.03,33.15,1.70,5898.22,37073.59,0.99473,218668.19,42918479_,
22/05/2015,XIE285,446/469/01/5,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,58520,18600,39920,03:16:40 p.m.,03:26:33 p.m.,5.66,19.03,33.15,1.70,5898.22,39709.62,0.99473,234216.07,42918479_,
11/05/2015,XAB695,447/470/01/1,COINCARBOY SPO036-109,CORRALES                 ,19160,7710,11450,10:30:07 a.m.,10:42:56 a.m.,6.14,11.55,39.00,1.21,6355.46,11532.21,1.00718,73292.50,58250150_,
11/05/2015,XFA381,447/470/01/2,COINCARBOY SPO036-109,CORRALES                 ,21410,8410,13000,03:23:31 p.m.,03:40:41 p.m.,6.14,11.55,39.00,1.21,6355.46,13093.34,1.00718,83214.20,58250150_,
11/05/2015,JGB128,447/470/01/3,COINCARBOY SPO036-109,CORRALES                 ,20830,8140,12690,03:26:59 p.m.,03:46:30 p.m.,6.14,11.55,39.00,1.21,6355.46,12781.11,1.00718,81229.83,58250150_,
11/05/2015,XAB695,447/470/01/4,COINCARBOY SPO036-109,CORRALES                 ,19250,7770,11480,04:57:09 p.m.,05:05:51 p.m.,6.14,11.55,39.00,1.21,6355.46,11562.43,1.00718,73484.56,58250150_,
12/05/2015,XAB695,447/470/01/5,COINCARBOY SPO036-109,CORRALES                 ,19020,7720,11300,10:14:59 a.m.,10:22:48 a.m.,6.14,11.55,39.00,1.21,6355.46,11381.13,1.00718,72332.32,58250150_,
12/05/2015,JGB128,447/470/01/6,COINCARBOY SPO036-109,CORRALES                 ,21230,8120,13110,02:53:18 p.m.,03:02:40 p.m.,6.14,11.55,39.00,1.21,6355.46,13204.13,1.00718,83918.32,58250150_,
12/05/2015,XFA381,447/470/01/7,COINCARBOY SPO036-109,CORRALES                 ,21170,8460,12710,02:58:38 p.m.,03:09:23 p.m.,6.14,11.55,39.00,1.21,6355.46,12801.26,1.00718,81357.90,58250150_,
12/05/2015,XAB695,447/470/01/8,COINCARBOY SPO036-109,CORRALES                 ,19130,7660,11470,04:17:38 p.m.,04:37:42 p.m.,6.14,11.55,39.00,1.21,6355.46,11552.35,1.00718,73420.50,58250150_,
13/05/2015,XAB695,447/470/01/9,COINCARBOY SPO036-109,CORRALES                 ,19260,7710,11550,01:26:10 p.m.,01:39:58 p.m.,6.14,11.55,39.00,1.21,6355.46,11632.93,1.00718,73932.62,58250150_,
14/05/2015,XGC694,447/470/01/10,COINCARBOY SPO036-109,CORRALES                 ,31460,11390,20070,09:57:36 a.m.,10:07:42 a.m.,6.14,11.55,39.00,1.21,6355.46,20214.10,1.00718,128469.90,58250150_,
14/05/2015,XAB695,447/470/01/11,COINCARBOY SPO036-109,CORRALES                 ,19320,7670,11650,01:02:33 p.m.,01:17:25 p.m.,6.14,11.55,39.00,1.21,6355.46,11733.65,1.00718,74572.74,58250150_,
14/05/2015,JGB128,447/470/01/12,COINCARBOY SPO036-109,CORRALES                 ,20730,8150,12580,02:48:05 p.m.,02:58:16 p.m.,6.14,11.55,39.00,1.21,6355.46,12670.32,1.00718,80525.71,58250150_,
14/05/2015,XFA381,447/470/01/13,COINCARBOY SPO036-109,CORRALES                 ,21270,8410,12860,02:50:27 p.m.,03:01:11 p.m.,6.14,11.55,39.00,1.21,6355.46,12952.33,1.00718,82318.02,58250150_,
15/05/2015,XAB695,447/470/01/14,COINCARBOY SPO036-109,CORRALES                 ,19300,7710,11590,10:10:03 a.m.,10:16:44 a.m.,6.14,11.55,39.00,1.21,6355.46,11673.22,1.00718,74188.68,58250150_,
19/05/2015,XAB695,447/470/01/15,COINCARBOY SPO036-109,CORRALES                 ,18900,7690,11210,10:06:54 a.m.,10:17:53 a.m.,6.14,11.55,39.00,1.21,6355.46,11290.49,1.00718,71756.26,58250150_,
19/05/2015,JGB128,447/470/01/16,COINCARBOY SPO036-109,CORRALES                 ,21070,8190,12880,10:59:48 a.m.,11:13:17 a.m.,6.14,11.55,39.00,1.21,6355.46,12972.48,1.00718,82446.08,58250150_,
19/05/2015,XFA381,447/470/01/17,COINCARBOY SPO036-109,CORRALES                 ,21390,8500,12890,11:08:28 a.m.,11:18:03 a.m.,6.14,11.55,39.00,1.21,6355.46,12982.55,1.00718,82510.08,58250150_,
19/05/2015,XAB695,447/470/01/18,COINCARBOY SPO036-109,CORRALES                 ,19100,7730,11370,03:29:49 p.m.,03:41:56 p.m.,6.14,11.55,39.00,1.21,6355.46,11451.64,1.00718,72780.44,58250150_,
