fecha,placa,código,mina,mpio,pesent,pessal,peso_bas,horaentra,horasal,humedad,cenizas,volatil,azufre,pcal,p_correg,f_b,t_mcal,cod_m,
09/06/2015,USB764,443/466/01/1,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,59130,59130,0,08:41:58 a.m.,09:29:32 a.m.,4.40,14.21,35.75,1.00,6466.40,0.00,1.00579,0.00,66424433_,
09/06/2015,TTN948,443/466/01/2,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,34880,12570,22310,08:44:28 a.m.,08:57:06 a.m.,4.40,14.21,35.75,1.00,6466.40,22439.17,1.00579,145100.65,66424433_,
09/06/2015,XAC434,443/466/01/3,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33880,11940,21940,08:46:30 a.m.,09:00:06 a.m.,4.40,14.21,35.75,1.00,6466.40,22067.03,1.00579,142694.24,66424433_,
09/06/2015,XAC434,443/466/01/4,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33530,11910,21620,02:55:10 p.m.,03:05:48 p.m.,4.40,14.21,35.75,1.00,6466.40,21745.18,1.00579,140613.03,66424433_,
10/06/2015,XAC434,443/466/01/5,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,32420,11870,20550,08:00:31 a.m.,08:20:49 a.m.,4.40,14.21,35.75,1.00,6466.40,20668.98,1.00579,133653.89,66424433_,
10/06/2015,SKV894,443/466/01/6,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,37840,12910,24930,09:23:01 a.m.,09:38:21 a.m.,4.40,14.21,35.75,1.00,6466.40,25074.34,1.00579,162140.71,66424433_,
10/06/2015,CTV202,443/466/01/7,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,34210,11080,23130,09:39:25 a.m.,09:54:00 a.m.,4.40,14.21,35.75,1.00,6466.40,23263.92,1.00579,150433.81,66424433_,
10/06/2015,SUK089,443/466/01/8,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,27070,11330,15740,10:22:20 a.m.,10:33:01 a.m.,4.40,14.21,35.75,1.00,6466.40,15831.13,1.00579,102370.42,66424433_,
10/06/2015,XAC434,443/466/01/9,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33300,11840,21460,02:34:21 p.m.,02:47:27 p.m.,4.40,14.21,35.75,1.00,6466.40,21584.25,1.00579,139572.39,66424433_,
10/06/2015,TPL824,443/466/01/10,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,56830,19340,37490,03:26:22 p.m.,03:36:55 p.m.,4.40,14.21,35.75,1.00,6466.40,37707.07,1.00579,243829.00,66424433_,
11/06/2015,XAC434,443/466/01/11,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33000,11790,21210,07:31:29 a.m.,07:46:26 a.m.,4.40,14.21,35.75,1.00,6466.40,21332.81,1.00579,137946.48,66424433_,
11/06/2015,SMK838,443/466/01/12,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33170,12120,21050,10:50:36 a.m.,11:05:21 a.m.,4.40,14.21,35.75,1.00,6466.40,21171.88,1.00579,136905.84,66424433_,
11/06/2015,SUK089,443/466/01/13,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,27530,11320,16210,10:52:27 a.m.,11:07:10 a.m.,4.40,14.21,35.75,1.00,6466.40,16303.86,1.00579,105427.28,66424433_,
11/06/2015,XAC434,443/466/01/14,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,34100,11990,22110,02:26:00 p.m.,02:37:15 p.m.,4.40,14.21,35.75,1.00,6466.40,22238.02,1.00579,143799.93,66424433_,
